$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100
smoke: 8 service(s), tenant 01a0baa2-26bc-75bc-aaac-acd319cf8525, database dos_test_b2_d175
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /tenancy/staff/set-password                    -      0      SKIPPED  destructive, needs --destructive (would change a demo user password)
POST    /tenancy/staff/set-status                      -      0      SKIPPED  destructive, needs --destructive (would disable a demo user)
GET     /tenancy/branding                              200    3      OK       
GET     /tenancy/settings                              200    3      OK       
POST    /tenancy/settings                              403    2      EXPECTED the manager role may not call POST /tenancy/settings
GET     /tenancy/numbering-series                      403    2      EXPECTED the manager role may not call GET /tenancy/numbering-series
POST    /tenancy/numbering-series                      403    2      EXPECTED the manager role may not call POST /tenancy/numbering-series
GET     /tenancy/feature-flags                         200    3      OK       
POST    /tenancy/feature-flags                         403    2      EXPECTED the manager role may not call POST /tenancy/feature-flags
POST    /tenancy/tenant                                403    2      EXPECTED the manager role may not call POST /tenancy/tenant
GET     /tenancy/audit                                 200    4      OK       
GET     /tenancy/support-grants                        403    2      EXPECTED the manager role may not call GET /tenancy/support-grants
POST    /tenancy/support-grants/{id}/approve           -      0      SKIPPED  no support request is waiting for the owner to answer
POST    /tenancy/support-grants/{id}/revoke            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /catalog/variants                              200    7      OK       
GET     /catalog/manufacturers                         200    3      OK       
POST    /catalog/proposals                             200    4      OK       
GET     /tenant-catalog/products                       200    10     OK       
POST    /tenant-catalog/products                       200    3      OK       
GET     /tenant-catalog/suppliers                      200    3      OK       
POST    /tenant-catalog/suppliers                      200    4      OK       
GET     /tenant-catalog/costs                          200    4      OK       
POST    /tenant-catalog/costs                          200    3      OK       
GET     /tenant-catalog/rep-authorisations             200    6      OK       
POST    /tenant-catalog/rep-authorisations             200    3      OK       
GET     /tenant-catalog/brands                         200    4      OK       
POST    /tenant-catalog/brands                         200    4      OK       
GET     /tenant-catalog/pack-configs                   200    4      OK       
POST    /tenant-catalog/pack-configs                   200    3      OK       
GET     /retailers                                     200    5      OK       
POST    /retailers                                     200    4      OK       
GET     /retailers/{id}                                200    3      OK       
POST    /retailers/{id}/credit                         200    3      OK       
POST    /retailers/{id}/link                           -      0      SKIPPED  destructive, needs --destructive (would invite a made-up phone into a demo shop 
POST    /retailers/me                                  403    2      EXPECTED the manager role may not call POST /retailers/me
GET     /beats                                         200    4      OK       
POST    /beats                                         200    4      OK       
POST    /beats/{id}/assign                             200    4      OK       
GET     /beats/assignments                             200    6      OK       
POST    /visits                                        200    4      OK       
GET     /visits                                        200    6      OK       
GET     /pricing/price-lists                           200    17     OK       
POST    /pricing/price-lists                           200    4      OK       
POST    /pricing/price-lists/{priceListId}/items       200    4      OK       
GET     /pricing/overrides                             200    4      OK       
POST    /pricing/overrides                             200    3      OK       
GET     /pricing/schemes                               200    4      OK       
POST    /pricing/schemes                               200    3      OK       
POST    /pricing/quote                                 200    12     OK       
POST    /pricing/bargains                              200    15     OK       
GET     /pricing/bargains                              200    4      OK       
POST    /pricing/bargains/{id}/decide                  -      0      SKIPPED  no bargain is awaiting a decision
POST    /pricing/bounds                                403    1      EXPECTED the manager role may not call POST /pricing/bounds
GET     /pricing/bounds                                200    5      OK       
GET     /inventory/locations                           200    4      OK       
POST    /inventory/locations                           200    3      OK       
GET     /inventory/sellable                            200    23     OK       
GET     /inventory/availability                        200    5      OK       
GET     /inventory/balances                            200    8      OK       
POST    /inventory/adjustments                         200    4      OK       
POST    /inventory/transfers                           200    4      OK       
GET     /inventory/ledger                              200    5      OK       
POST    /inventory/lots                                200    4      OK       
POST    /inventory/cycle-counts                        200    11     OK       
GET     /inventory/cycle-counts                        200    4      OK       
POST    /inventory/cycle-counts/{id}/count             200    8      OK       
POST    /inventory/cycle-counts/{id}/post              409    5      EXPECTED cycle count b24cd950-8b2b-7979-b757-948dfe93be0a is open; every line must be cou
