$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100 --run-tag whrules-1
smoke: 8 service(s), tenant 01a0999a-28c3-7341-93f5-e0e84b0189a1, database dos_test_b2_warehouse_rules
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
── manager-service ─────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /delivery/vehicles                             200    9      OK       
POST    /docint/documents                              200    12     OK       
POST    /delivery/trips                                200    37     OK       
POST    /docint/documents/{id}/pages/upload-urls       200    4      OK       
POST    /delivery/trips/{id}/stops/reorder             200    12     OK       
POST    /docint/documents/{id}/pages                   200    6      OK       
POST    /delivery/trips/{id}/start-loading             200    9      OK       
POST    /docint/documents/{id}/qr                      200    8      OK       
POST    /delivery/trips/{id}/depart                    -      0      SKIPPED  could not load the throwaway trip out before it departs: warehouse.loadSheets.cr
POST    /docint/documents/{id}/submit                  200    36     OK       
POST    /delivery/trips/{id}/stops                     200    14     OK       
POST    /delivery/stops/{id}/start                     409    5      EXPECTED trip TRIP-0002 is loading; the crew works a stop while the trip is active
POST    /delivery/stops/{id}/arrive                    409    6      EXPECTED trip TRIP-0002 is loading; the crew works a stop while the trip is active
POST    /delivery/deliveries                           409    4      EXPECTED trip TRIP-0002 is loading; a bill is delivered while the trip is out
POST    /delivery/deliveries/{id}/pod                  200    12     OK       
POST    /delivery/collections                          409    4      EXPECTED trip TRIP-0002 is loading; money is collected while the trip is out
POST    /docint/extractions/{id}/matches/reject        200    6      OK       
POST    /delivery/van-sales                            200    100    OK       
POST    /docint/extractions/{id}/matches/accept        200    9      OK       
POST    /delivery/expenses                             409    4      EXPECTED trip TRIP-0002 is loading; an expense belongs to a trip that is out
POST    /docint/extractions/{id}/matches/choose        200    8      OK       
POST    /gps/points                                    200    1      OK       
POST    /docint/extractions/{id}/rematch               200    9      OK       
POST    /delivery/stops/{id}/fail                      409    4      EXPECTED trip TRIP-0002 is loading; the crew works a stop while the trip is active
POST    /docint/documents/{id}/extract                 200    21     OK       
POST    /docint/documents/{id}/review                  200    12     OK       
POST    /docint/review-sessions/{id}/heartbeat         200    4      OK       
POST    /docint/review-sessions/{id}                   200    10     OK       
POST    /docint/review-sessions/{id}/submit            400    8      EXPECTED 1 red check(s) still fail; fix them before submitting
POST    /docint/review-sessions/{id}/release           200    7      OK       
POST    /delivery/trips/{id}/return                    409    3      EXPECTED trip: cannot apply "return" in state "loading"
POST    /docint/documents/{id}/approve                 200    11     OK       
GET     /delivery/trips/{id}/settlement                200    5      OK       
POST    /delivery/trips/{tripId}/settle                409    4      EXPECTED trip TRIP-0002 is loading; a trip is settled after it returns (closing)
GET     /delivery/trips/{id}/trace                     200    4      OK       
GET     /delivery/trips/{id}                           200    7      OK       
GET     /delivery/trips/{id}/next-stop                 200    5      OK       
GET     /delivery/deliveries                           200    6      OK       
GET     /delivery/deliveries/{id}                      200    6      OK       
GET     /health/ping                                   200    2      OK       
GET     /tenancy/me                                    200    3      OK       
GET     /tenancy/staff                                 200    5      OK       
POST    /tenancy/staff                                 200    30     OK       
POST    /tenancy/staff/update                          200    7      OK       
POST    /tenancy/staff/set-password                    -      0      SKIPPED  destructive, needs --destructive (would change a demo user password)
POST    /tenancy/staff/set-status                      -      0      SKIPPED  destructive, needs --destructive (would disable a demo user)
GET     /tenancy/branding                              200    3      OK       
GET     /tenancy/settings                              200    1      OK       
POST    /tenancy/settings                              403    2      EXPECTED the manager role may not call POST /tenancy/settings
GET     /tenancy/numbering-series                      403    2      EXPECTED the manager role may not call GET /tenancy/numbering-series
POST    /tenancy/numbering-series                      403    2      EXPECTED the manager role may not call POST /tenancy/numbering-series
GET     /tenancy/feature-flags                         200    2      OK       
POST    /tenancy/feature-flags                         403    2      EXPECTED the manager role may not call POST /tenancy/feature-flags
POST    /tenancy/tenant                                403    2      EXPECTED the manager role may not call POST /tenancy/tenant
GET     /tenancy/audit                                 200    4      OK       
GET     /tenancy/support-grants                        403    1      EXPECTED the manager role may not call GET /tenancy/support-grants
POST    /tenancy/support-grants/{id}/approve           -      0      SKIPPED  no support request is waiting for the owner to answer
POST    /tenancy/support-grants/{id}/revoke            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /catalog/variants                              200    2      OK       
GET     /catalog/manufacturers                         200    3      OK       
POST    /catalog/proposals                             200    4      OK       
GET     /tenant-catalog/products                       200    4      OK       
POST    /tenant-catalog/products                       200    4      OK       
GET     /tenant-catalog/suppliers                      200    3      OK       
POST    /tenant-catalog/suppliers                      200    3      OK       
GET     /tenant-catalog/costs                          200    3      OK       
POST    /tenant-catalog/costs                          200    3      OK       
GET     /tenant-catalog/rep-authorisations             200    4      OK       
POST    /tenant-catalog/rep-authorisations             200    4      OK       
GET     /tenant-catalog/brands                         200    3      OK       
POST    /tenant-catalog/brands                         200    4      OK       
GET     /tenant-catalog/pack-configs                   200    3      OK       
POST    /tenant-catalog/pack-configs                   200    3      OK       
GET     /retailers                                     200    3      OK       
POST    /retailers                                     200    5      OK       
GET     /retailers/{id}                                200    3      OK       
POST    /retailers/{id}/credit                         200    4      OK       
POST    /retailers/{id}/link                           -      0      SKIPPED  destructive, needs --destructive (would invite a made-up phone into a demo shop 
POST    /retailers/me                                  403    2      EXPECTED the manager role may not call POST /retailers/me
GET     /beats                                         200    3      OK       
POST    /beats                                         200    3      OK       
POST    /beats/{id}/assign                             200    4      OK       
GET     /beats/assignments                             200    3      OK       
POST    /visits                                        200    4      OK       
GET     /visits                                        200    3      OK       
GET     /pricing/price-lists                           200    8      OK       
POST    /pricing/price-lists                           200    4      OK       
POST    /pricing/price-lists/{priceListId}/items       200    6      OK       
GET     /pricing/overrides                             200    4      OK       
POST    /pricing/overrides                             200    3      OK       
GET     /pricing/schemes                               200    4      OK       
POST    /pricing/schemes                               200    4      OK       
POST    /pricing/quote                                 200    7      OK       
POST    /pricing/bargains                              200    7      OK       
GET     /pricing/bargains                              200    3      OK       
POST    /pricing/bargains/{id}/decide                  200    4      OK       
POST    /pricing/bounds                                403    2      EXPECTED the manager role may not call POST /pricing/bounds
GET     /pricing/bounds                                200    4      OK       
GET     /inventory/locations                           200    3      OK       
POST    /inventory/locations                           200    4      OK       
GET     /inventory/sellable                            200    21     OK       
GET     /inventory/availability                        200    3      OK       
GET     /inventory/balances                            200    4      OK       
POST    /inventory/adjustments                         200    6      OK       
POST    /inventory/transfers                           200    6      OK       
GET     /inventory/ledger                              200    3      OK       
POST    /inventory/lots                                200    4      OK       
POST    /inventory/cycle-counts                        200    7      OK       
GET     /inventory/cycle-counts                        200    3      OK       
